# Constructed from biom file																							
#OTU ID	S1	S10	S11	S12	S13	S15	S16	S17	S18	S2	S20	S21	S22	S23	S24	S3	S4	S5	S6	S7	S8	S9	Taxonomy
55	0	1011	0	0	0	0	0	0	0	0	698	0	22	128	3422	0	0	0	0	0	67	163	k__Bacteria; p__AD3
56	0	789	288	648	0	0	0	0	0	0	706	146	201	1046	24	0	0	0	0	357	686	581	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__; s__
57	186	165	345	208	240	0	202	72	189	224	332	204	357	616	160	173	206	50	189	562	343	414	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae
58	0	372	57	185	0	0	0	0	0	0	700	33	66	1337	21	0	0	0	0	271	600	1769	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__; s__
59	490	0	0	0	1132	147	393	432	661	930	0	0	0	28	0	310	373	210	234	0	0	65	k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__
60	85	46	0	92	69	0	43	0	46	3439	545	169	86	125	109	0	75	0	89	0	242	130	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__Candidatus Koribacter; s__versatilis
61	253	0	0	0	519	351	554	470	1174	637	0	0	0	0	0	218	448	287	473	0	0	0	k__Bacteria; p__Actinobacteria
62	69	252	173	206	48	476	848	263	443	178	181	186	236	200	81	177	376	0	73	330	322	232	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
63	370	32	172	98	472	546	391	215	473	174	81	85	189	225	73	155	296	226	414	184	48	135	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylocapsa
64	0	1319	0	120	0	0	0	0	0	0	1634	0	45	873	84	0	0	0	0	72	356	524	k__Bacteria
65	215	16	236	156	159	490	84	117	232	42	19	304	204	224	43	345	288	163	292	1213	143	33	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingosinicella; s__microcystinivorans
66	215	237	791	745	127	0	0	74	60	72	61	718	528	52	0	42	41	147	143	366	466	107	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
67	2	525	276	204	9	0	0	0	0	0	552	180	167	671	1606	0	0	0	0	158	176	399	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__Actinomadura
68	292	0	0	0	398	296	1003	310	666	361	0	0	0	0	0	322	688	159	419	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae
69	524	40	0	0	434	271	931	170	383	679	21	0	19	0	59	234	456	141	485	0	0	37	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae
